Complete,000088,p=1,v=3,"3:AC* B^^ B** B,A,C,1-++   1---   1+++   ","1^^~2-3","{{-2,-1,0},{-1,1,1},{0,1,2}}",1,13,7,
Complete,000089,p=1,v=3,"3:AC* B^^ B** B,A,C,1+-+   1+--   1-++   ","1^^-2~3","{{-2,1,0},{1,1,-1},{0,-1,2}}",1,13,7,
Complete,000090,p=1,v=3,"3:AC* B^^ B** B,A,C,1--+   1---   1-++   ","1^^~2~3","{{-2,-1,0},{-1,1,-1},{0,-1,2}}",1,13,7,
Complete,000091,p=1,v=3,"2:AA* B|| B,A,1+++   2+++   ","1-2=3-1","{{1,1,1},{1,0,2},{1,2,0}}",1,13,19,
Complete,000092,p=1,v=3,"3:AA* 2B|| B,AA,1-++   1-++ 1+++   ","1~2=3-1","{{1,-1,1},{-1,0,2},{1,2,0}}",1,13,-5,
Complete,000093,p=1,v=3,"2:AA* B|| B,A,1--+   2-++   ","1~2=3~1","{{1,-1,-1},{-1,0,2},{-1,2,0}}",1,13,19,
Complete,000094,p=1,v=3,"2:AA* B|| B,A,1+++   2+-+   ","1-2-~3-1","{{1,1,1},{1,0,0},{1,0,0}}",1,5,7,
Complete,000095,p=1,v=3,"3:AA* 2B|| B,AA,1-++   1--+ 1+-+   ","1~2-~3-1","{{1,-1,1},{-1,0,0},{1,0,0}}",1,5,7,
Complete,000096,p=1,v=3,"2:AA* B|| B,A,1--+   2--+   ","1~2-~3~1","{{1,-1,-1},{-1,0,0},{-1,0,0}}",1,5,7,
Complete,000097,p=1,v=3,"2:AA* B|| B,A,1+++   2+--   ","1-2~~3-1","{{1,1,1},{1,0,-2},{1,-2,0}}",1,13,-5,
Complete,000098,p=1,v=3,"3:AA* 2B|| B,AA,1-++   1--- 1+--   ","1~2~~3-1","{{1,-1,1},{-1,0,-2},{1,-2,0}}",1,13,19,
Complete,000099,p=1,v=3,"2:AA* B|| B,A,1--+   2---   ","1~2~~3~1","{{1,-1,-1},{-1,0,-2},{-1,-2,0}}",1,13,-5,
Complete,000100,p=1,v=3,"3:AAC BB^ B** B,A,C,1+++   1++-   1+++   ","1-2=3^","{{2,1,0},{1,0,2},{0,2,-1}}",1,15,1,
Complete,000101,p=1,v=3,"3:AAC BB^ B** B,A,C,1++-   1++-   1-++   ","1~2=3^","{{2,-1,0},{-1,0,2},{0,2,-1}}",1,15,1,
