Mixed Prime,000104,p=1,v=5,"1^-2-3-1 2-4=5-3",-1,19,-1,119,29,829,419,5999,
Mixed Prime,000105,p=1,v=5,"1^-2^-3-1 3-4=5",-1,19,5,99,89,607,909,4067,
Mixed Prime,000106,p=1,v=5,"1^^-2-3^-4^-5",-1,19,-7,95,-51,505,-337,2783,
Mixed Prime,000107,p=1,v=5,"1^^-2-3-4-5^^",-1,19,-7,103,-31,589,-85,3439,
Mixed Prime,000108,p=1,v=5,"1-2^-4=5-3^-1",-1,19,-7,103,-51,613,-365,3823,
Mixed Prime,000109,p=1,v=5,"1^^-2^-3-4^-5",-1,19,-7,103,-71,637,-645,4207,
Mixed Prime,000110,p=1,v=5,"1^^-2-3=4-5^",-1,19,-7,107,-31,643,-99,3971,
Mixed Prime,000111,p=1,v=5,"1^-2-3-1 3-4=5^",-1,19,-7,107,-71,691,-659,4739,
Mixed Prime,000112,p=1,v=5,"1^-2^-4=5-3-1",-1,19,-7,111,-31,697,-113,4511,
Mixed Prime,000113,p=1,v=5,"1^-2-3=4-5^^",-1,19,-7,115,-71,799,-687,5827,
Mixed Prime,000114,p=1,v=5,"1^^-2^-3^-4-5",-1,19,-7,127,-51,937,-449,7135,
Mixed Prime,000115,p=1,v=5,"1^^-2^-3-4=5",-1,21,-1,133,19,957,307,7205,
Mixed Prime,000116,p=1,v=5,"1^^-2-3^-4=5",-1,21,-1,117,19,717,307,4613,
Mixed Prime,000117,p=1,v=5,"1^^-2-3-4=5-3",-1,21,5,121,99,813,1119,5921,
Mixed Prime,000118,p=1,v=5,"1-2-3-4^^ 3-5^^",-1,21,-7,137,-41,981,-253,7297,
Mixed Prime,000119,p=1,v=5,"1^^-2-3-5=4-2",-1,21,-7,145,-21,1077,27,8241,
Mixed Prime,000120,p=1,v=5,"1^^-2-3-4^^ 3-5",-1,21,-7,121,-41,741,-197,4673,
Mixed Prime,000121,p=1,v=5,"1^-2=3-4=5^",-1,21,-13,133,-121,933,-1093,6917,
Mixed Prime,000122,p=1,v=5,"1-2^-3^-4=5^",-1,21,-13,125,-141,837,-1345,6085,
Mixed Prime,000123,p=1,v=5,"1^^-2-3-4=5^",-1,21,-13,125,-101,789,-729,5125,
Mixed Prime,000124,p=1,v=5,"1^=2-3-4=5-3",-1,23,-1,147,19,1055,335,7971,
Mixed Prime,000125,p=1,v=5,"1-2^-3=4-5^^",-1,23,-7,139,-91,935,-995,6723,
Mixed Prime,000126,p=1,v=5,"1^-2=4-5=3-1",-1,23,-7,147,-31,995,-15,6915,
Mixed Prime,000127,p=1,v=5,"1^=2-3^-4=5",-1,23,-7,147,-71,1043,-687,7811,
Mixed Prime,000128,p=1,v=5,"1^^-2^-3=4-5",-1,23,-7,155,-51,1151,-379,8931,
Mixed Prime,000129,p=1,v=5,"1^^-2-3 2-4=5^",-1,23,-13,147,-121,1007,-1037,7203,
Mixed Prime,000130,p=1,v=5,"1^=2-3-4=5^",-1,23,-19,147,-171,995,-1387,6915,
Mixed Prime,000131,p=1,v=5,"1^^-2=3-4=5",-1,25,-1,165,-1,1225,-1,9605,
Mixed Prime,000132,p=1,v=5,"1^-2-3-4^ 3-5^",1,9,7,33,41,141,225,641,
Mixed Prime,000133,p=1,v=5,"1^-2-3^-4-5^",1,11,7,39,31,149,141,591,
Mixed Prime,000134,p=1,v=5,"1^-2^-3-4-5^",1,11,7,47,51,233,337,1215,
